A0A098	GO:0005515
A0A181	GO:0016608
A0A1F4	GO:0005201
A0A1F4	GO:0005515
A0A4W4	GO:0005515
A0A4W4	GO:0042802
A0A4X8	GO:0005515
A0A4Z3	GO:0016757
A0A8M2	GO:0003723
A0A8M2	GO:0017151
A0AAR7	GO:0004683
A0AAR7	GO:0009931
A0AQH0	GO:0004175
A0AR23	GO:0004842
A0AR23	GO:0005515
A0AR23	GO:0042803
A0AUK1	GO:0005515
A0AUK1	GO:0008599
A0AUN7	GO:1990080
A0AUQ9	GO:0004904
A0AUR7	GO:0004767
A0AUV2	GO:0005515
A0AUV3	GO:0004672
A0AUV3	GO:0004702
A0AUV3	GO:0005515
A0AVK6	GO:0001047
A0AVK6	GO:0003700
A0AVT1	GO:0005515
A0AVT1	GO:0019780
A0AVU4	GO:0004995
A0EXC5	GO:0008146
A0EXC6	GO:0008146
A0FDS8	GO:0005515
A0FJH7	GO:0004904
A0FJH8	GO:0004904
A0FJI0	GO:0004904
A0FJI2	GO:0004896
A0FLF1	GO:0005515
A0JC64	GO:0005515
A0JL24	GO:0003700
A0JLM4	GO:0001515
A0JLM4	GO:0017124
A0JLM6	GO:0003682
A0JLM6	GO:0036033
A0JLM8	GO:0005515
A0JLM8	GO:0070064
A0JLN0	GO:0003682
A0JLN0	GO:0005515
A0JLN2	GO:0005515
A0JLN2	GO:0016301
A0JLN2	GO:0016538
A0JLN2	GO:0019901
A0JLN9	GO:0005515
A0JLP7	GO:0000976
A0JLP7	GO:0001047
A0JLP7	GO:0003700
A0JLP7	GO:0005515
A0JLP8	GO:0001085
A0JLQ6	GO:0004842
A0JLQ6	GO:0005515
A0JLQ6	GO:0031624
A0JLR3	GO:0003725
A0JLR3	GO:0005515
A0JLR6	GO:0005515
A0JLS7	GO:0004842
A0JLS7	GO:0005515
A0JLT5	GO:0005515
A0JLT5	GO:0008134
A0JLT5	GO:0008270
A0JLY3	GO:0008233
A0JMC3	GO:0047291
A0JMC7	GO:0004439
A0JMM3	GO:0004308
A0JN13	GO:0005212
A0JN13	GO:0042802
A0JN17	GO:0005515
A0JN17	GO:0019002
A0JN17	GO:0019003
A0JN17	GO:0030275
A0JN25	GO:0005515
A0JN25	GO:0008017
A0JN25	GO:0019899
A0JN25	GO:0019901
A0JN25	GO:0019904
A0JNR9	GO:0005515
A0JNT0	GO:0005515
A0JNT1	GO:0005515
A0JNT9	GO:0017137
A0JNT9	GO:0034452
A0JNY3	GO:0008092
A0JNY4	GO:0005515
A0JNY7	GO:0003743
A0JNY7	GO:0005515
A0JNY9	GO:0003720
A0JNY9	GO:0005515
A0JNZ0	GO:0004842
A0JNZ0	GO:0005515
A0JNZ0	GO:0019871
A0JNZ0	GO:0050815
A0JNZ0	GO:0050816
A0JNZ0	GO:0070064
A0JNZ1	GO:0005515
A0JNZ1	GO:0016303
A0JNZ1	GO:0043560
A0JP44	GO:0016409
A0JPK5	GO:0005515
A0JPL2	GO:0000287
A0JPL2	GO:0001948
A0JPL2	GO:0004674
A0JPL2	GO:0005524
A0JPL2	GO:0042277
A0JPL2	GO:0051219
A0JPL9	GO:0003924
A0JPL9	GO:0005525
A0MTA1	GO:0016491
A0MTM0	GO:0005198
A0MTM0	GO:0005515
A0MZ67	GO:0005515
A0N0C8	GO:0001012
A0N0C8	GO:0003677
A0N0C8	GO:0003682
A0N0C8	GO:0003700
A0N0C8	GO:0004879
A0N0C8	GO:0005515
