precision,recall
0.00121655840067897,1
0.142031611743905,0.533745056478215
0.142037396341782,0.533745056478215
0.142091290087351,0.533115211516975
0.142538396929593,0.53183386439448
0.143523499760449,0.531154860776496
0.144301522032705,0.530160590469789
0.145333311580566,0.528563341991435
0.14643409494046,0.52619270988433
0.147821743885563,0.524991810691146
0.149262468276829,0.52305560627877
0.150316882786094,0.522339336974673
0.152558937364879,0.521153966205083
0.153388101037458,0.518311271609697
0.155609205762495,0.516569621321801
0.157878746626717,0.512626177423791
0.16073200133146,0.508770126840394
0.167029032130328,0.503551538490775
0.170538531237589,0.498717263398621
0.176440137315356,0.494301052206175
0.181042401960404,0.486357041650128
0.188286358541355,0.479224744024299
0.195937306039359,0.471115833659258
0.201364264589675,0.462596193776504
0.208446752018908,0.452273528505144
0.216238112676138,0.431927853302911
0.255904429935246,0.368008215607505
0.273966251867821,0.351116835086271
0.285143817697813,0.344455946670833
0.291858704410078,0.339349043049876
0.298105222157607,0.334492772809199
0.304525126040324,0.331745724374031
0.311406214179184,0.329480744377914
0.316595721743961,0.323118857238464
0.320169034609388,0.321014045421179
0.327169795194166,0.316404986149424
0.327169795194166,0.316404986149424
0.329225499460494,0.314359375271695
0.331245752058087,0.311800281720056
0.332894468395314,0.306352928573742
0.336170330783526,0.302865104693092
0.341859251475193,0.294810124358049
0.341859251475193,0.294810124358049
0.347526108618546,0.290157891637418
0.353486947859358,0.288986648145206
0.359758776589109,0.283727234530904
0.364745461172947,0.278775521491278
0.378931100254198,0.270927225776415
0.378931100254198,0.270927225776415
0.384061521626257,0.264044892819113
0.393862271649596,0.255329128258834
0.441930860485644,0.225593806277437
0.457357824554207,0.208974131624766
0.467405461654683,0.203417582578017
0.472773946099459,0.196141543499877
0.477656691053972,0.190016913885535
0.483802941814147,0.18727870572864
0.484003086915495,0.176889275798664
0.485177824360623,0.172755124241441
0.485177824360623,0.172755124241441
0.486237952004846,0.169280648055996
0.489264388104843,0.163885570779853
0.488975055493441,0.161227614075466
0.491072890029237,0.157535602984769
0.49360135060657,0.156205643079088
0.495727388755294,0.153593510231633
0.497715384278184,0.148494437248124
0.49953431501102,0.146403029360896
0.502294876839761,0.145682630546029
0.503770358627032,0.141306905909793
0.507188071623061,0.137592135228815
0.509868689127049,0.134937611914685
0.509421861492656,0.133364743152645
0.508252510066878,0.131616974662072
0.5078582037505,0.128077600149737
0.515306980105958,0.123728570413612
0.551909857306244,0.101725297508584
0.562172091116413,0.0882086137649793
0.55939596163136,0.0814710827232573
0.566162769845064,0.0784459923882743
0.579543552200723,0.072898443265242
0.576923119471328,0.0699000727896372
0.58366767474736,0.065311637274937
0.58366767474736,0.065311637274937
0.583153959720397,0.0626977351496035
0.583735214356954,0.0582320334943804
0.589690218790713,0.0566648648324585
0.591657016708842,0.0542775343106526
0.591628311402819,0.0526358001760214
0.595301717287312,0.0513724836158872
0.598251473663249,0.0500338127571768
0.596070547683774,0.0496501309781461
0.597170003249164,0.0487883293208353
0.598692564418695,0.0487049870976648
0.598379319707875,0.0485451033767346
0.599616916289187,0.0484556579384519
0.601004918410227,0.0484556579384519
0.600079175761526,0.0483510272492255
0.600079175761526,0.0483510272492255
0.600079175761526,0.0483510272492255
0.600079175761526,0.0483510272492255
