precision,recall
0.00121655840067897,1
0.104497584853576,0.598654219732841
0.104497584853576,0.598654219732841
0.10457120431277,0.598654219732841
0.104586243575787,0.598654219732841
0.104987079970038,0.598572002208764
0.105029993752505,0.598572002208764
0.105108174567571,0.598366277700714
0.105954679461651,0.597558838803082
0.107299628044747,0.595320728350655
0.11093362874868,0.592350808555733
0.11701080023662,0.587419659965352
0.127863428397144,0.57430678818162
0.139681282388298,0.559927272451368
0.154995533486568,0.540646639300158
0.188664841267861,0.46841949978668
0.206994234259027,0.446047659093291
0.211869282128311,0.438065529110436
0.218200913008941,0.431394591194653
0.222018416475831,0.426803601196846
0.22476757210757,0.422927184885897
0.229591151275378,0.417177639597733
0.23364359658026,0.41391744579326
0.238325749196291,0.411770414154918
0.243903282772437,0.406635001174082
0.248731373254752,0.401578536422117
0.255646268125607,0.395806616357622
0.265897066280942,0.389323709005211
0.272746709492017,0.376714023069513
0.291452397468766,0.350589800845271
0.322022229578574,0.326344835724343
0.330385392068023,0.316930580481551
0.337160142679343,0.313952843111473
0.342923298963595,0.309636303247645
0.347988231369385,0.307161466323147
0.354223382847265,0.296304814483143
0.354223382847265,0.296304814483143
0.356607008204207,0.29154517151791
0.36113357626431,0.285366990347769
0.364886915279136,0.280604656339077
0.37214832583994,0.277123969864758
0.39203499925907,0.266802034815426
0.39203499925907,0.266802034815426
0.408367274548707,0.257611835473049
0.442113847082739,0.23928760485055
0.451059391303067,0.230066533417616
0.45584720356362,0.223544580318423
0.462392186526839,0.212460658048666
0.462392186526839,0.212460658048666
0.463666854682689,0.205679393496125
0.464295854006069,0.202545864616035
0.466156640336602,0.197980114767012
0.472623061332731,0.195281642771237
0.474392294611824,0.191554790594788
0.475568983930917,0.187379161058845
0.477220344821157,0.183502289302321
0.484187405066421,0.180717056247716
0.521885119400653,0.151141358749353
0.53040352791423,0.144584893579585
0.53040352791423,0.144584893579585
0.538796057989042,0.139438215494364
0.543428309703969,0.135719926039578
0.546213173224788,0.133151109830569
0.548753959778052,0.129581850377398
0.553330433595322,0.1267402312228
0.558473970725341,0.124275006013597
0.562604584677649,0.121793525971129
0.565932642450495,0.119003874729279
0.56730318517674,0.115984393440329
0.564180419450787,0.112979007666488
0.569454150782034,0.110276281172486
0.572553904118327,0.107044813551571
0.597653964733949,0.0977707679167529
0.606026801359515,0.0852222206719979
0.603909155009972,0.0808867529290211
0.603829222340945,0.0765324947459492
0.601288359010407,0.0736920493859489
0.602174117110564,0.0716397705732419
0.605280793252022,0.069675462263371
0.605069692500721,0.0680769538963752
0.607430808002209,0.066646262835475
0.606384517139591,0.0651526993771253
0.611477530223548,0.062377915067943
0.611477530223548,0.062377915067943
0.603468231202215,0.058444440787544
0.612297317862185,0.0564212861174707
0.62223739679297,0.0517735260192613
0.646218100261345,0.0368308364852352
0.635082243025791,0.0323325368217273
0.648969733602945,0.0294249388852438
0.647060804786611,0.0270067084864027
0.643745847683967,0.0247517450786166
0.645625358577166,0.022440512266216
0.648002915451895,0.0222880453544959
0.642362335880854,0.0217019750430583
0.640195789059425,0.0215253203024501
0.643501574183392,0.0215253203024501
0.643501574183392,0.0215253203024501
0.643501574183392,0.0215253203024501
0.643501574183392,0.0215135749418675
0.643501574183392,0.0215135749418675
